DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
208.4,102.96,1.7643,1.5301,0.83298002,9.5947,63.3476,1.0494,3603265.176,1950.0
208.5524,102.5694,1.7768,1.5308,0.826131173,9.7262,62.8642,1.0344,3631447.862,1948.0
208.7048,101.9424,1.7886,1.5311,0.815137249,9.824,58.1758,1.058,3658236.172,1950.0
208.8572,103.1894,1.7923,1.5287,0.837002358,9.9146,57.6927,1.077,3668480.644,1950.0
209.0096,103.0699,1.7772,1.5231,0.834907025,9.9538,62.6767,1.0319,3640228.239,1952.0
209.162,101.1729,1.7526,1.5159,0.801644705,9.9557,60.0773,1.0583,3592457.748,1951.0
209.3144,98.4067,1.7285,1.5087,0.753141685,9.8841,65.3131,1.0296,3545639.416,1950.0
209.4668,96.8491,1.7296,1.5026,0.725830462,9.8165,61.8895,1.0565,3550479.017,1947.0278
209.6192,97.6992,1.7326,1.4987,0.74073626,9.7849,57.4734,1.0147,3559225.014,1952.0
209.7716,99.6741,1.7397,1.4986,0.775364492,9.8634,63.3963,1.0326,3576408.595,1953.0
209.924,101.6703,1.7335,1.5035,0.810366201,9.8253,64.3598,1.0651,3566251.889,1951.0
210.0764,98.5141,1.7241,1.5126,0.755024855,9.8126,62.5663,1.041,3549488.668,1951.0
210.2288,97.3864,1.7143,1.5215,0.735251571,9.7075,65.3457,1.0491,3531873.272,1953.0
210.3812,95.7283,1.7064,1.5272,0.706178165,9.6603,63.5049,1.0724,3518145.901,1952.0
210.5336,98.2746,1.7032,1.5302,0.750825421,9.6095,66.2021,1.0236,3514092.11,1952.0
210.686,96.4567,1.7027,1.5319,0.718950054,9.6172,61.5757,1.0275,3515603.512,1957.0
210.8384,95.5166,1.7052,1.5332,0.702466181,9.6515,61.5767,1.0389,3523312.069,1952.0
210.9908,90.5166,1.7043,1.5336,0.614795332,9.6483,61.099,1.0725,3523997.88,1953.0
211.1432,88.7037,1.7054,1.5322,0.583007636,9.6522,59.4868,1.0421,3528819.41,1958.984
211.2956,86.9975,1.71,1.5309,0.553090836,9.6542,61.2694,1.0743,3540891.665,1954.0
211.448,88.9133,1.7198,1.5303,0.586682798,9.7504,63.0856,1.0729,3563753.05,1956.0
211.6004,88.3023,1.7327,1.5291,0.57596942,9.7724,63.4959,1.0563,3593072.128,1954.0
211.7528,87.4684,1.7484,1.5264,0.561347676,9.7669,63.3749,1.0753,3628240.236,1950.0
211.9052,87.1345,1.7736,1.5218,0.555493017,9.746,59.937,0.9995,3683183.615,1952.0
212.0576,87.1486,1.7886,1.5129,0.555740249,9.8285,60.8398,0.9662,3717004.989,1957.0
212.21,88.031,1.7802,1.5022,0.5712124,9.8068,61.8536,1.0163,3702207.172,1953.0
212.3624,88.4262,1.7647,1.4958,0.578141904,9.6889,58.6572,0.9556,3672608.087,1953.0
212.5148,90.8814,1.7608,1.4936,0.621191798,9.6825,61.5981,0.9725,3667121.386,1955.0
212.6672,90.7928,1.7693,1.4984,0.61963827,9.89,65.4285,0.9597,3687466.354,1958.0
212.8196,90.0309,1.7825,1.5107,0.606278986,10.0168,61.1013,0.9192,3717639.183,1954.0
212.972,90.3121,1.7844,1.5219,0.611209595,9.9844,59.9556,0.9883,3724266.921,1957.0
213.1244,91.3413,1.7827,1.5271,0.629255762,9.8018,61.2418,1.0076,3723381.305,1957.0
213.2768,91.4024,1.7662,1.5266,0.6303271,9.7151,64.074,0.9306,3691556.945,1956.988
213.4292,90.9605,1.7501,1.5253,0.62257875,9.6245,65.8812,0.99,3660519.941,1959.0
213.5816,89.2143,1.7492,1.5267,0.591960583,9.5991,59.038,0.9752,3661249.96,1960.0
213.734,88.748,1.7605,1.5291,0.5837844,9.5582,61.9118,0.9897,3687531.329,1960.0
213.8864,86.8808,1.7716,1.5307,0.551044598,9.585,58.9914,1.0314,3713427.233,1965.0
214.0388,88.8135,1.7743,1.5314,0.584932888,9.5604,62.367,1.0662,3721736.62,1962.0
214.1912,90.5417,1.7714,1.532,0.61523544,9.5746,60.2036,0.9472,3718299.258,1963.0
214.3436,92.5823,1.7716,1.5319,0.651015667,9.5793,62.7025,1.0106,3721364.993,1962.0
214.496,94.1636,1.7749,1.5302,0.678742449,9.5705,59.3577,1.0435,3730947.714,1964.0
214.6484,93.3654,1.7778,1.5281,0.664746675,9.6701,59.2889,1.0493,3739698.87,1961.0
214.8008,92.4261,1.7834,1.5267,0.648276829,9.6872,61.89,1.0281,3754142.318,1966.9681
214.9532,90.181,1.7777,1.5254,0.608910865,9.6402,57.7797,1.0468,3744798.576,1962.0
215.1056,90.5081,1.7796,1.5239,0.614646292,9.6018,60.0269,1.0171,3751458.872,1967.0
215.258,90.7507,1.7778,1.5227,0.618900082,9.6542,62.2857,1.0412,3750319.59,1963.0
215.4104,90.5802,1.7764,1.5237,0.615910506,9.6797,59.8773,1.0218,3750019.339,1962.0
215.5628,89.9751,1.7685,1.5271,0.60530058,9.6288,61.6244,0.9689,3735983.556,1966.0
215.7152,89.7653,1.7644,1.5309,0.601621911,9.6066,65.6373,0.9979,3729957.409,1966.0
215.8676,90.4551,1.7697,1.532,0.613716981,9.6851,60.3361,1.009,3743804.739,1961.0
216.02,93.7171,1.7723,1.5287,0.670913443,9.6989,59.1973,0.9708,3751952.011,1962.0
